name,group,origin_url,release,release_date,tag_ref,snapshot_id,revision_id,directory_id
pip,old_2000s,https://github.com/pypa/pip,1.0.1,2011-04-30T23:20:34+02:00,refs/tags/1.0.1,a0631faadd6a4ccc11ae89da85325e99f44819d7,b1f2a9fddaa407cfbee6f249a52129e370800bd1,f41c2246cb66fe1aac134195fe788bd72baf2853
virtualenv,old_2000s,https://pypi.org/project/virtualenv/,1.4,2009-11-07T00:24:21+00:00,releases/1.4,6eec199d3dedf6fa8660ecd560dce8a1c026e494,,5262c2c114b4e591bd12c840195609def687860f
setuptools,old_2000s,https://pypi.org/project/setuptools/,0.6c11,2009-10-20T16:07:46+00:00,releases/0.6c11/setuptools-0.6c11.tar.gz,af4dd0280a7dd143ec63b7df564ed90292f6b24a,,e2e477a90f4f061ff2ddc2713cfadc46fdc24071
scons,old_2000s,https://github.com/SCons/scons,1.0.0,2008-08-12T21:58:53+00:00,refs/tags/1.0.0,,6b937e9999a51b919b0720741a5fa7b76f6e6186,c5a9aef04201dc9299862d67cd3bdcf41887a653
coverage,old_2000s,https://pypi.org/project/coverage/,3.0,2009-06-14T03:36:26+00:00,releases/3.0,c47624ddc14ee26c4e175f542be037266bd85df7,,4e6a8ee64b61f84b596b5b0c9531e8e83bd1e064
nose,old_2000s,https://github.com/nose-devs/nose,0.11.1,2009-05-13T20:00:52-04:00,refs/tags/release_0.11.1,ad1333756f3208d0a5406a075efe60b4786d751f,c0e29e35b3e698f4ac099a76c6e187b9f04cdf99,7f6051bfe88ae470efb6abda2994e30c84694843
pygments,old_2000s,https://pypi.org/project/Pygments/,1.0,2008-11-23T18:07:41+00:00,releases/1.0,350ac8a5d0284be34165d1664850808ba65a235d,,a82251310eff87d529dbe2502e07bdfd07c9a48b
ipython,old_2000s,https://pypi.org/project/ipython/,0.10.1,2010-10-12T08:40:01+00:00,releases/0.10.1/ipython-0.10.1.tar.gz,ef7ff594cc00cd82b5da62e4422c0777ceebcdc1,,90353396ee140362f37d8e7bee19b693ea16438a
pip-audit,new_2020s,https://github.com/pypa/pip-audit,2.9.0,2025-04-07T12:36:59-04:00,refs/tags/v2.9.0,ab6908537119ba6c84b43f13f42193c0c15816e3,89ba95983281980506b662fb08cea634d75907c5,03f6d430cc3a76d56be02f6d49fd9b2914a2208b
typer,new_2020s,https://github.com/fastapi/typer,0.19.0,2025-09-20T09:54:12+02:00,refs/tags/0.19.0,,13619fb4a35ee92a276215889c68ea03633c24dd,47fa9af9614741f2c1b9a69f134203055d89c1b0
pdm,new_2020s,https://github.com/pdm-project/pdm,2.26.0,2025-10-11T09:45:35+08:00,refs/tags/2.26.0,8d731482be845273145302a0eaa5d61a53f9ba3f,bd8c5d30c6b8b8a615f82605e63f1391e5fabfa2,6ba48fc6c930bb3f20784ab065164f8a82d764e4
textualize,new_2020s,https://github.com/Textualize/textual,1.0.0,2024-12-12T10:41:24+00:00,refs/tags/1.0.0,,f888e6ae4afc74c8b4d9bc4a18d17071b453a780,27fb020b7dae4683ef7b6a41460b0c3456c5a258
rich,new_2020s,https://github.com/Textualize/rich,14.0.0,2025-03-30T15:14:41+01:00,refs/tags/v14.0.0,09e6b063cdd2e5bf1af38fa34ea86bf8d8961849,72e3bb33d44fd96881f7742b77137983907a942f,17252f25ff08d6d1a33ab14b8d6ccecdc26addd9
build,new_2020s,https://github.com/pypa/build,1.4.0,2026-01-08T11:35:57-05:00,refs/tags/1.4.0,fe0abe4579a61f72bb6c998bf3dee365911e53ce,54f238d1664124e06a68c6c22fd5b1418fa5feb2,e09f3ac0100e897a4ee2341844f59515bf97e692
poetry-plugin-export,new_2020s,https://github.com/python-poetry/poetry-plugin-export,1.10.0,2026-01-18T15:20:27+01:00,refs/tags/1.10.0,afbea34482e81bbdfca4bca6136e841a5121b357,ac66c08a6fcfd140b23c0133f4886999479cc0b9,9a00228714b7969724277b1cb38538330ca374b6
pytask,new_2020s,https://pypi.org/project/pytask/,0.5.8,2025-12-30T17:03:18+00:00,releases/0.5.8,4c1c75a5de16f525dcdfff0ce28700a43a51d946,,7aa1bba9a44b5eec1ea81f82cf6846805c1510f1
