subset,repo,group,release,total_blocks,inline_blocks,full_line_singleton_blocks,full_line_block_blocks,inline_block_ratio,full_line_singleton_block_ratio,full_line_block_ratio,mean_block_char_len,median_block_char_len,mean_block_word_len,median_block_word_len,mean_inline_block_char_len,median_inline_block_char_len,mean_full_line_singleton_char_len,median_full_line_singleton_char_len,mean_full_line_block_char_len,median_full_line_block_char_len,mean_inline_block_word_len,median_inline_block_word_len,mean_full_line_singleton_word_len,median_full_line_singleton_word_len,mean_full_line_block_word_len,median_full_line_block_word_len
core,build,new_2020s,1.4.0,54,16,23,15,0.2962962962962963,0.42592592592592593,0.2777777777777778,75.0,40.0,11.37037037037037,5.0,20.8125,16.0,40.82608695652174,38.0,185.2,151.0,3.5625,3.0,5.608695652173913,5.0,28.533333333333335,25.0
core,coverage,old_2000s,3.0,116,12,77,27,0.10344827586206896,0.6637931034482759,0.23275862068965517,68.96551724137932,41.0,11.137931034482758,7.0,23.75,24.5,36.311688311688314,36.0,182.1851851851852,114.0,3.8333333333333335,3.0,5.961038961038961,6.0,29.14814814814815,19.0
core,ipython,old_2000s,0.10.1,3656,354,2050,1252,0.09682713347921225,0.5607221006564551,0.3424507658643326,81.67943107221006,50.0,10.516411378555798,6.0,24.635593220338983,24.0,38.12,36.0,169.1317891373802,141.5,4.101694915254237,4.0,5.673658536585366,5.0,20.259584664536742,17.0
core,nose,old_2000s,0.11.1,484,51,275,158,0.10537190082644628,0.5681818181818182,0.32644628099173556,68.05371900826447,43.0,10.789256198347108,7.0,21.88235294117647,21.0,34.403636363636366,33.0,141.5253164556962,113.0,4.019607843137255,4.0,5.807272727272728,6.0,21.645569620253166,18.0
core,pdm,new_2020s,2.26.0,499,223,213,63,0.4468937875751503,0.42685370741482964,0.12625250501002003,47.36072144288577,33.0,7.5030060120240485,5.0,22.995515695067265,22.0,44.497652582159624,45.0,143.28571428571428,128.0,3.273542600896861,3.0,7.370892018779343,7.0,22.92063492063492,21.0
core,pip,old_2000s,1.0.1,245,23,173,49,0.09387755102040816,0.7061224489795919,0.2,53.82857142857143,45.0,9.06530612244898,8.0,22.08695652173913,18.0,41.14450867052023,40.0,113.51020408163265,107.0,4.0,4.0,7.046242774566474,7.0,18.571428571428573,17.0
core,pip-audit,new_2020s,2.9.0,152,38,54,60,0.25,0.35526315789473684,0.39473684210526316,100.9342105263158,59.5,16.348684210526315,10.0,15.973684210526315,16.0,51.98148148148148,52.0,198.8,158.0,2.973684210526316,3.0,8.37037037037037,8.0,32.0,27.0
core,poetry-plugin-export,new_2020s,1.10.0,28,6,12,10,0.21428571428571427,0.42857142857142855,0.35714285714285715,82.14285714285714,68.5,13.464285714285714,12.0,20.0,19.0,61.25,61.5,144.5,130.5,2.0,2.0,10.833333333333334,10.5,23.5,20.0
core,pygments,old_2000s,1.0,963,228,654,81,0.2367601246105919,0.6791277258566978,0.08411214953271028,29.19522326064382,21.0,4.672897196261682,3.0,15.789473684210526,13.0,23.671253822629968,21.0,111.53086419753086,89.0,2.574561403508772,2.0,3.691131498470948,3.0,18.506172839506174,15.0
core,pytask,new_2020s,0.5.8,383,189,128,66,0.4934725848563969,0.3342036553524804,0.17232375979112272,51.281984334203656,30.0,7.926892950391645,4.0,19.206349206349206,16.0,46.7734375,44.5,151.87878787878788,142.5,2.497354497354497,2.0,7.671875,8.0,23.96969696969697,23.0
core,rich,new_2020s,14.0.0,367,157,165,45,0.42779291553133514,0.44959128065395093,0.1226158038147139,45.00544959128065,29.0,7.168937329700272,5.0,23.796178343949045,16.0,41.224242424242426,41.0,132.86666666666667,122.0,3.343949044585987,3.0,6.951515151515151,7.0,21.31111111111111,21.0
core,scons,old_2000s,1.0.0,2610,195,1087,1328,0.07471264367816093,0.4164750957854406,0.5088122605363985,198.96819923371646,66.0,31.55287356321839,11.0,27.543589743589745,26.0,39.61545538178473,40.0,354.57379518072287,178.0,4.697435897435898,5.0,6.3836246550138,6.0,56.09789156626506,28.0
core,setuptools,old_2000s,0.6c11,447,179,214,54,0.4004474272930649,0.47874720357941836,0.12080536912751678,46.082774049217,35.0,7.519015659955257,6.0,26.553072625698324,26.0,40.09345794392523,42.0,134.55555555555554,106.5,4.575418994413408,5.0,6.457943925233645,7.0,21.48148148148148,19.0
core,textualize,new_2020s,1.0.0,1440,322,811,307,0.22361111111111112,0.5631944444444444,0.21319444444444444,58.37777777777778,42.0,10.01388888888889,7.0,18.180124223602483,14.0,41.28976572133169,42.0,145.68078175895766,120.0,2.347826086956522,2.0,7.225647348951911,7.0,25.420195439739413,21.0
core,typer,new_2020s,0.19.0,381,43,285,53,0.11286089238845144,0.7480314960629921,0.13910761154855644,43.5485564304462,16.0,6.496062992125984,3.0,16.0,16.0,23.301754385964912,13.0,174.77358490566039,149.0,2.6511627906976742,3.0,3.585964912280702,2.0,25.264150943396228,23.0
core,virtualenv,old_2000s,1.4,115,16,67,32,0.1391304347826087,0.5826086956521739,0.2782608695652174,52.22608695652174,37.0,8.060869565217391,6.0,23.5,19.0,32.76119402985075,30.0,107.34375,95.5,4.3125,3.0,5.074626865671642,6.0,16.1875,17.0
