subset,repo,group,release,total_blocks,inline_blocks,full_line_blocks,total_comment_lines,mean_block_char_len,median_block_char_len,mean_block_word_len,median_block_word_len,mean_block_lines,median_block_lines,legal_blocks,annotation_blocks,tooling_blocks,punctuation_end_blocks,question_blocks,exclamation_blocks,url_blocks,separator_blocks,inline_block_ratio,full_line_block_ratio,legal_block_ratio,annotation_block_ratio,tooling_block_ratio,punctuation_end_ratio,question_ratio,exclamation_ratio,url_ratio,separator_ratio
core,build,new_2020s,1.4.0,54,16,38,86,75.0,40.0,11.37037037037037,5.0,1.5925925925925926,1.0,3,0,13,19,0,0,3,0,0.2962962962962963,0.7037037037037037,0.05555555555555555,0.0,0.24074074074074073,0.35185185185185186,0.0,0.0,0.05555555555555555,0.0
core,coverage,old_2000s,3.0,116,12,104,192,68.96551724137932,41.0,11.137931034482758,7.0,1.6551724137931034,1.0,1,0,5,88,0,1,1,0,0.10344827586206896,0.896551724137931,0.008620689655172414,0.0,0.04310344827586207,0.7586206896551724,0.0,0.008620689655172414,0.008620689655172414,0.0
core,ipython,old_2000s,0.10.1,3656,354,3302,6437,81.67943107221006,50.0,10.516411378555798,6.0,1.760667396061269,1.0,118,123,59,737,37,28,24,82,0.09682713347921225,0.9031728665207878,0.032275711159737416,0.03364332603938731,0.016137855579868708,0.20158643326039388,0.01012035010940919,0.007658643326039387,0.006564551422319475,0.022428884026258207
core,nose,old_2000s,0.11.1,484,51,433,815,68.05371900826447,43.0,10.789256198347108,7.0,1.6838842975206612,1.0,1,34,0,156,11,0,3,0,0.10537190082644628,0.8946280991735537,0.002066115702479339,0.07024793388429752,0.0,0.32231404958677684,0.022727272727272728,0.0,0.006198347107438017,0.0
core,pdm,new_2020s,2.26.0,499,223,276,595,47.36072144288577,33.0,7.5030060120240485,5.0,1.1923847695390781,1.0,4,10,156,95,0,0,13,0,0.4468937875751503,0.5531062124248497,0.008016032064128256,0.02004008016032064,0.312625250501002,0.1903807615230461,0.0,0.0,0.026052104208416832,0.0
core,pip,old_2000s,1.0.1,245,23,222,307,53.82857142857143,45.0,9.06530612244898,8.0,1.2530612244897958,1.0,0,59,0,45,19,2,3,0,0.09387755102040816,0.9061224489795918,0.0,0.24081632653061225,0.0,0.1836734693877551,0.07755102040816327,0.00816326530612245,0.012244897959183673,0.0
core,pip-audit,new_2020s,2.9.0,152,38,114,302,100.9342105263158,59.5,16.348684210526315,10.0,1.986842105263158,1.0,0,16,37,74,1,0,5,0,0.25,0.75,0.0,0.10526315789473684,0.24342105263157895,0.4868421052631579,0.006578947368421052,0.0,0.03289473684210526,0.0
core,poetry-plugin-export,new_2020s,1.10.0,28,6,22,45,82.14285714285714,68.5,13.464285714285714,12.0,1.6071428571428572,1.0,0,1,6,11,0,1,0,0,0.21428571428571427,0.7857142857142857,0.0,0.03571428571428571,0.21428571428571427,0.39285714285714285,0.0,0.03571428571428571,0.0,0.0
core,pygments,old_2000s,1.0,963,228,735,1111,29.19522326064382,21.0,4.672897196261682,3.0,1.153686396677051,1.0,2,25,68,71,10,8,2,2,0.2367601246105919,0.7632398753894081,0.0020768431983385254,0.02596053997923157,0.07061266874350987,0.07372793354101766,0.010384215991692628,0.008307372793354102,0.0020768431983385254,0.0020768431983385254
core,pytask,new_2020s,0.5.8,383,189,194,484,51.281984334203656,30.0,7.926892950391645,4.0,1.2637075718015667,1.0,0,2,174,150,0,1,5,0,0.4934725848563969,0.5065274151436031,0.0,0.005221932114882507,0.45430809399477806,0.391644908616188,0.0,0.0026109660574412533,0.013054830287206266,0.0
core,rich,new_2020s,14.0.0,367,157,210,437,45.00544959128065,29.0,7.168937329700272,5.0,1.1907356948228882,1.0,0,2,98,24,0,0,6,1,0.42779291553133514,0.5722070844686649,0.0,0.005449591280653951,0.2670299727520436,0.0653950953678474,0.0,0.0,0.01634877384196185,0.0027247956403269754
core,scons,old_2000s,1.0.0,2610,195,2415,11479,198.96819923371646,66.0,31.55287356321839,11.0,4.39808429118774,2.0,244,102,1,1461,28,9,15,2,0.07471264367816093,0.9252873563218391,0.09348659003831418,0.03908045977011494,0.0003831417624521073,0.5597701149425287,0.010727969348659003,0.0034482758620689655,0.005747126436781609,0.0007662835249042146
core,setuptools,old_2000s,0.6c11,447,179,268,544,46.082774049217,35.0,7.519015659955257,6.0,1.2170022371364653,1.0,0,30,0,43,7,9,0,1,0.4004474272930649,0.5995525727069351,0.0,0.06711409395973154,0.0,0.09619686800894854,0.015659955257270694,0.020134228187919462,0.0,0.0022371364653243847
core,textualize,new_2020s,1.0.0,1440,322,1118,1972,58.37777777777778,42.0,10.01388888888889,7.0,1.3694444444444445,1.0,1,31,121,496,7,3,22,0,0.22361111111111112,0.7763888888888889,0.0006944444444444445,0.021527777777777778,0.08402777777777778,0.34444444444444444,0.004861111111111111,0.0020833333333333333,0.015277777777777777,0.0
core,typer,new_2020s,0.19.0,381,43,338,501,43.5485564304462,16.0,6.496062992125984,3.0,1.31496062992126,1.0,0,25,43,15,1,0,7,0,0.11286089238845144,0.8871391076115486,0.0,0.06561679790026247,0.11286089238845144,0.03937007874015748,0.0026246719160104987,0.0,0.01837270341207349,0.0
core,virtualenv,old_2000s,1.4,115,16,99,158,52.22608695652174,37.0,8.060869565217391,6.0,1.373913043478261,1.0,0,11,0,18,3,1,3,0,0.1391304347826087,0.8608695652173913,0.0,0.09565217391304348,0.0,0.1565217391304348,0.02608695652173913,0.008695652173913044,0.02608695652173913,0.0
