subset,repo,group,release,total_blocks,tooling_blocks,noqa_blocks,pragma_blocks,type_ignore_blocks,pylint_blocks,mypy_blocks,fmt_blocks,encoding_blocks,tooling_block_ratio,noqa_block_ratio,pragma_block_ratio,type_ignore_block_ratio,pylint_block_ratio,mypy_block_ratio,fmt_block_ratio,encoding_block_ratio
core,build,new_2020s,1.4.0,54,13,0,12,1,0,0,0,0,0.24074074074074073,0.0,0.2222222222222222,0.018518518518518517,0.0,0.0,0.0,0.0
core,coverage,old_2000s,3.0,116,5,0,1,0,4,0,0,0,0.04310344827586207,0.0,0.008620689655172414,0.0,0.034482758620689655,0.0,0.0,0.0
core,ipython,old_2000s,0.10.1,3656,59,0,0,0,0,0,0,59,0.016137855579868708,0.0,0.0,0.0,0.0,0.0,0.0,0.016137855579868708
core,nose,old_2000s,0.11.1,484,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core,pdm,new_2020s,2.26.0,499,156,4,68,84,0,0,0,0,0.312625250501002,0.008016032064128256,0.13627254509018036,0.1683366733466934,0.0,0.0,0.0,0.0
core,pip,old_2000s,1.0.1,245,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core,pip-audit,new_2020s,2.9.0,152,37,0,35,2,0,0,0,0,0.24342105263157895,0.0,0.23026315789473684,0.013157894736842105,0.0,0.0,0.0,0.0
core,poetry-plugin-export,new_2020s,1.10.0,28,6,1,0,5,0,0,0,0,0.21428571428571427,0.03571428571428571,0.0,0.17857142857142858,0.0,0.0,0.0,0.0
core,pygments,old_2000s,1.0,963,68,0,0,0,3,0,0,65,0.07061266874350987,0.0,0.0,0.0,0.003115264797507788,0.0,0.0,0.06749740394600208
core,pytask,new_2020s,0.5.8,383,174,102,42,40,0,0,0,0,0.45430809399477806,0.26631853785900783,0.10966057441253264,0.10443864229765012,0.0,0.0,0.0,0.0
core,rich,new_2020s,14.0.0,367,98,2,72,22,0,0,2,0,0.2670299727520436,0.005449591280653951,0.19618528610354224,0.05994550408719346,0.0,0.0,0.005449591280653951,0.0
core,scons,old_2000s,1.0.0,2610,1,0,0,0,0,0,0,1,0.0003831417624521073,0.0,0.0,0.0,0.0,0.0,0.0,0.0003831417624521073
core,setuptools,old_2000s,0.6c11,447,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core,textualize,new_2020s,1.0.0,1440,121,3,8,113,0,0,0,0,0.08402777777777778,0.0020833333333333333,0.005555555555555556,0.07847222222222222,0.0,0.0,0.0,0.0
core,typer,new_2020s,0.19.0,381,43,4,24,14,0,1,0,0,0.11286089238845144,0.010498687664041995,0.06299212598425197,0.03674540682414698,0.0,0.0026246719160104987,0.0,0.0
core,virtualenv,old_2000s,1.4,115,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
